task_id,experiment_layer,protocol_version,suite,scenario,comparison_group,comparison_method,algorithm,repeat,seed,search_budget_id,objective_semantics_version,instance_count,feasible_instances,feasible_rate,mean_candidate_count,mean_evaluations,mean_constraint_rejection_rate,mean_nonconvergence_rate,mean_archive_size,mean_hypervolume,avg_estimated_delay_ms,avg_operational_stability_score,avg_total_energy,search_runtime_ms
search_quality:isolated_snapshot_v1:search_quality:ff6667e8f9373c08:proposed:r13:s20260732,search_quality,isolated_snapshot_v1,search_quality,proposed_medium,search_quality,proposed_medium,proposed,13,20260732,p12_g4_a64,stability_delay_energy_v4,30,26,0.8666666666666667,3.6333333333333333,28.3,0.6788126605548895,0.0,3.6333333333333333,0.2535775376668117,688.9625622340099,0.8592898447357536,10362.624625078051,1340.208501671441
search_quality:isolated_snapshot_v1:search_quality:ff6667e8f9373c08:proposed:r14:s20260733,search_quality,isolated_snapshot_v1,search_quality,proposed_medium,search_quality,proposed_medium,proposed,14,20260733,p12_g4_a64,stability_delay_energy_v4,30,25,0.8333333333333334,3.5,28.433333333333334,0.7230430646134849,0.0,3.5,0.2278918930030795,676.9294619942692,0.8598072873211311,12382.399796540665,1469.974750187248
search_quality:isolated_snapshot_v1:search_quality:ff6667e8f9373c08:proposed:r15:s20260734,search_quality,isolated_snapshot_v1,search_quality,proposed_medium,search_quality,proposed_medium,proposed,15,20260734,p12_g4_a64,stability_delay_energy_v4,30,24,0.8,2.8666666666666667,28.666666666666668,0.7154817706774674,0.0,2.8666666666666667,0.22582272870959824,674.7360914327968,0.870578632751605,12318.825106619945,1388.0222484003752
search_quality:isolated_snapshot_v1:search_quality:ff6667e8f9373c08:proposed:r16:s20260735,search_quality,isolated_snapshot_v1,search_quality,proposed_medium,search_quality,proposed_medium,proposed,16,20260735,p12_g4_a64,stability_delay_energy_v4,30,29,0.9666666666666667,3.7333333333333334,28.5,0.6835098472712445,0.0,3.7333333333333334,0.2501242660488471,702.9002696226639,0.8578344328965298,12740.33735820398,1449.8752939980477
search_quality:isolated_snapshot_v1:search_quality:ff6667e8f9373c08:proposed:r17:s20260736,search_quality,isolated_snapshot_v1,search_quality,proposed_medium,search_quality,proposed_medium,proposed,17,20260736,p12_g4_a64,stability_delay_energy_v4,30,26,0.8666666666666667,3.4,27.733333333333334,0.701544809024894,0.0,3.4,0.2750050370497325,673.2276964234272,0.8665293080666542,11122.418166502632,1252.4880872806534
search_quality:isolated_snapshot_v1:search_quality:ff6667e8f9373c08:proposed:r18:s20260737,search_quality,isolated_snapshot_v1,search_quality,proposed_medium,search_quality,proposed_medium,proposed,18,20260737,p12_g4_a64,stability_delay_energy_v4,30,28,0.9333333333333333,3.2666666666666666,27.4,0.7178860972814698,0.0,3.2666666666666666,0.29294177026864665,699.6804956348044,0.8608386981608549,13328.896991204316,1445.1384170679376
search_quality:isolated_snapshot_v1:search_quality:ff6667e8f9373c08:proposed:r19:s20260738,search_quality,isolated_snapshot_v1,search_quality,proposed_medium,search_quality,proposed_medium,proposed,19,20260738,p12_g4_a64,stability_delay_energy_v4,30,25,0.8333333333333334,3.433333333333333,28.533333333333335,0.67655020935208,0.0,3.433333333333333,0.2307814186174682,649.1313416255729,0.8657703384313767,11057.485925436704,1366.317915963009
search_quality:isolated_snapshot_v1:search_quality:ad3df0285d4ac131:sa:r0:s20260719,search_quality,isolated_snapshot_v1,search_quality,sa_medium,search_quality,sa_medium,sa,0,20260719,p12_g4_a64,stability_delay_energy_v4,30,24,0.8,5.066666666666666,45.4,0.4367876091032921,0.0,5.066666666666666,0.3104588367613174,606.6616101481865,0.8542001684748938,6455.4603748504205,1664.5808746106923
search_quality:isolated_snapshot_v1:search_quality:ad3df0285d4ac131:sa:r1:s20260720,search_quality,isolated_snapshot_v1,search_quality,sa_medium,search_quality,sa_medium,sa,1,20260720,p12_g4_a64,stability_delay_energy_v4,30,25,0.8333333333333334,5.166666666666667,45.03333333333333,0.5163589572138892,0.0,5.166666666666667,0.3559563248684266,600.6476742705468,0.8407408591577172,6749.639732255799,1607.5523326871917
search_quality:isolated_snapshot_v1:search_quality:ad3df0285d4ac131:sa:r2:s20260721,search_quality,isolated_snapshot_v1,search_quality,sa_medium,search_quality,sa_medium,sa,2,20260721,p12_g4_a64,stability_delay_energy_v4,30,23,0.7666666666666667,4.233333333333333,45.06666666666667,0.5418852696434849,0.0,4.233333333333333,0.3142159644239658,633.8672079419218,0.8488034104084629,6175.815663042905,1617.841912782751
